Model_name,CV_TrainMAE,CV_TrainRMSE,CV_TestMAE,CV_TestRMSE,CV_fit_time,CV_fit_time_ges,TrainRMSE,TrainMAE,TestRMSE,TestMAE,TrainTime_ges,Features,Feature-Anzahl,FS-Laufzeit
Linear Regressor,28.966349723295757,61.05706726889715,29.206059164811016,61.25312432826443,0.011823940277099609,146.05560021400453,61.09577248827162,28.9833693502654,62.96574598251864,30.17361759570002,0.02409815788269043,"[450 466 468 457 467  92 321  70  68 169 358  69  94 147  88 464 459  95
   7  16 455 306 458  76 407  14 463  84 186 136  15   3 330   2  48 462
 448  93  13   9]",40,146.04377627372742
SVR,20.83378955976047,52.96854074855524,29.07492712626611,62.38044051677828,2.174310827255249,148.85007276535035,52.90458963360572,20.97580475881658,62.61663278460676,29.970851964551994,3.2823522090911865,"[450 466 468 457 467  92 321  70  68 169 358  69  94 147  88 464 459  95
   7  16 455 306 458  76 407  14 463  84 186 136  15   3 330   2  48 462
 448  93  13   9]",40,146.6757619380951
Random Forest,11.433921698520098,29.905598934507076,27.274763200911572,58.173592073851886,19.732078504562377,169.31825561523436,29.201383084130086,11.245188089786371,58.51681004683403,27.738382238096847,25.291512966156006,"[450 466 468 457 467  92 321  70  68 169 358  69  94 147  88 464 459  95
   7  16 455 306 458  76 407  14 463  84 186 136  15   3 330   2  48 462
 448  93  13   9]",40,149.586177110672
Gradient Boosting,8.264010346209886,17.77217704817084,28.15715490144303,58.1483998919188,0.8967721462249756,148.39045214653015,20.51413034723488,9.624980493998786,57.34248760837282,28.641766575385223,0.97259521484375,"[450 466 468 457 467  92 321  70  68 169 358  69  94 147  88 464 459  95
   7  16 455 306 458  76 407  14 463  84 186 136  15   3 330   2  48 462
 448  93  13   9]",40,147.49368000030518
