Model_name,CV_TrainMAE,CV_TrainRMSE,CV_TestMAE,CV_TestRMSE,CV_fit_time,TrainRMSE,TrainMAE,ValidationRMSE,ValidationMAE,TestRMSE,TestMAE,TrainTime,Hauptkomponenten,Hauptkomponenten-Anzahl,FS-Laufzeit
Linear Regressor,38.527780644680504,472.52888146671023,40.45860153015737,442.8797969127986,0.005140447616577148,475.96980579134186,38.59191346249881,1400.4298908291364,60.98673222806136,251.90230005661323,33.56419605931622,0.40508103370666504,"[8.76212337e-01 1.01903731e-01 9.15138393e-03 4.98923666e-03
 3.75840970e-03 2.09387806e-03 9.03410760e-04 6.53645039e-04
 1.40844460e-04 9.26009232e-05 6.50856213e-05 2.81833637e-05
 4.28290113e-06 2.97097240e-06 4.68699342e-11 1.99381734e-11
 1.24242491e-11 5.28571682e-12 4.23589343e-12 3.09211976e-12]",20,3.0310022830963135
SVR,24.70160822006009,49.359310352707745,25.01064658693634,49.30049828351497,0.7386281490325928,52.43191821842865,23.500946613997918,165.44344778415342,26.122321845905116,51.28832441025036,24.36620959993981,1.377936840057373,"[8.76212337e-01 1.01903731e-01 9.15138393e-03 4.98923666e-03
 3.75840970e-03 2.09387806e-03 9.03410760e-04 6.53645039e-04
 1.40844460e-04 9.26009232e-05 6.50856213e-05 2.81833637e-05
 4.28290113e-06 2.97097240e-06 4.68699342e-11 1.99381734e-11
 1.24242491e-11 5.28571682e-12 4.23589343e-12 3.09211976e-12]",20,2.69844913482666
Random Forest,1.062865449881375,2.8224738794877586,2.770341180727532,7.160419471572624,7.9552891731262205,2.6898746732484016,0.9948722299950726,8.407421474775303,2.5146858760328388,6.753292181155017,2.6941122046827672,10.7883780002594,"[8.76212337e-01 1.01903731e-01 9.15138393e-03 4.98923666e-03
 3.75840970e-03 2.09387806e-03 9.03410760e-04 6.53645039e-04
 1.40844460e-04 9.26009232e-05 6.50856213e-05 2.81833637e-05
 4.28290113e-06 2.97097240e-06 4.68699342e-11 1.99381734e-11
 1.24242491e-11 5.28571682e-12 4.23589343e-12 3.09211976e-12]",20,4.733108758926392
Gradient Boosting,0.5873638739355919,1.0003274796602248,3.085787939156366,8.10306220699484,0.6087645530700684,1.3202632296587786,0.7525558453833309,10.604607155171891,2.9816903828083623,8.800181015757788,3.2130879280242053,1.0303351879119873,"[8.76212337e-01 1.01903731e-01 9.15138393e-03 4.98923666e-03
 3.75840970e-03 2.09387806e-03 9.03410760e-04 6.53645039e-04
 1.40844460e-04 9.26009232e-05 6.50856213e-05 2.81833637e-05
 4.28290113e-06 2.97097240e-06 4.68699342e-11 1.99381734e-11
 1.24242491e-11 5.28571682e-12 4.23589343e-12 3.09211976e-12]",20,2.935180425643921
